r[cm]	λ[cm]	Q_ext	Q_sca	g
0.02097152	0.002134934934934935	2.1270269649193225	1.2285583383361196	0.8857577212336066
0.02097152	0.002137837837837838	2.1271824873831613	1.2290203727350746	0.8854550472203054
0.02097152	0.002140740740740741	2.1273404529251714	1.2295112725847364	0.8851297998121008
0.02097152	0.002143643643643644	2.1274996765099545	1.230016001482984	0.8847938248963526
0.02097152	0.0021465465465465463	2.127659091889672	1.230521040571476	0.8844577802978293
0.02097152	0.0021494494494494493	2.127818697562188	1.2310263853331498	0.8841216698843734
0.02097152	0.0021523523523523523	2.12797849203437	1.2315320312884876	0.8837854974949584
0.02097152	0.0021552552552552553	2.128138473822046	1.232037973995132	0.8834492669398653
0.02097152	0.0021581581581581583	2.1282986414499194	1.2325442090474734	0.8831129820008542
0.02097152	0.002161061061061061	2.128458993102698	1.233050732076277	0.8827766464313443
0.02097152	0.002163963963963964	2.128619528064668	1.233557538748278	0.8824402639565818
0.02097152	0.002166866866866867	2.128780244487873	1.2340646247658187	0.8821038382738154
0.02097152	0.00216976976976977	2.1289389612469245	1.2345546089100778	0.881778253186239
0.02097152	0.002172672672672673	2.1290885455496946	1.234971107399056	0.8814987842424548
0.02097152	0.0021755755755755754	2.129238164503559	1.235387528511515	0.8812194498965564
0.02097152	0.0021784784784784784	2.129387817553284	1.2358038714084056	0.8809402511902515
0.02097152	0.0021813813813813814	2.129537504146118	1.23622013525667	0.8806611891567132
0.02097152	0.0021842842842842844	2.129687223731783	1.2366363192291814	0.8803822648206342
0.02097152	0.0021871871871871874	2.1298369757624407	1.237052422504666	0.8801034791982776
0.02097152	0.00219009009009009	2.129986759692713	1.2374684442676696	0.8798248332975326
0.02097152	0.002192992992992993	2.1301365746132404	1.2378843837084872	0.8795463281179648
0.02097152	0.002195895895895896	2.1302864207618506	1.2383002400230994	0.8792679646508664
0.02097152	0.002198798798798799	2.1304362971827526	1.2387160124131438	0.8789897438793104
0.02097152	0.002201701701701702	2.1305862033408	1.2391317000858366	0.8787116667782011
0.02097152	0.0022046046046046044	2.1307361387030737	1.2395473022539516	0.8784337343143293
0.02097152	0.0022075075075075074	2.1308861027388377	1.2399628181357576	0.8781559474464213
0.02097152	0.0022104104104104104	2.131036094919522	1.2403782469549793	0.8778783071251935
0.02097152	0.0022133133133133134	2.1311861147186995	1.2407935879407437	0.8776008142934038
0.02097152	0.0022162162162162164	2.1313361616120687	1.2412088403275277	0.877323469885902
0.02097152	0.002219119119119119	2.1314862350774475	1.2416240033551087	0.8770462748296806
0.02097152	0.002222022022022022	2.1316363345947704	1.2420390762685176	0.876769230043922
0.02097152	0.002224924924924925	2.1317864596460834	1.242454058317982	0.8764923364400489
0.02097152	0.002227827827827828	2.131936609362944	1.242868948758868	0.876215594921769
0.02097152	0.002230730730730731	2.1320867839796063	1.2432837468516516	0.875939006385126
